community_board,borough,requests,closed_requests,closed_rate,median_resolution_hours,p90_resolution_hours,due_date_coverage,on_time_rate,high_delay_rate_raw,high_delay_rate_eb,high_delay_ci_low,high_delay_ci_high,delay_index,excess_delay_hours,addressable_cases,reliability_gap,priority_score
15 BROOKLYN,BROOKLYN,1140,1121,0.9833333333333333,14.518055555555556,216.67833333333334,0.0035087719298245615,,0.3862622658340767,0.3815741679479389,0.3582493024935214,0.4051311000759416,1.445471266910204,120585.62549682448,678,0.046881797582420226,3.596477899382286
12 BRONX,BRONX,25799,25792,0.9997286716539401,7.551805555555555,30.993611111111115,0.0,,0.305404776674938,0.3053192787622932,0.30061471852038335,0.3100409775855669,1.2180745425932635,428249.48378603585,15119,0.009426259065183573,3.5790972112477957
04 QUEENS,QUEENS,918,916,0.9978213507625272,12.087777777777777,275.65458333333333,0.0,,0.4039301310043668,0.3974974989409593,0.3715974224390616,0.4236415355704858,1.2519613630213664,204889.07312649812,547,0.05204411313142421,3.138327422630709
12 MANHATTAN,MANHATTAN,2137,2132,0.9976602714085167,37.02055555555555,473.59291666666667,0.005147402901263453,,0.351313320825516,0.349451017029262,0.3327055973551736,0.3663540972962364,1.1065085193031745,383664.1186680798,1228,0.03364849994106284,2.7507571609431216
08 QUEENS,QUEENS,1425,1417,0.9943859649122807,9.630833333333333,185.40955555555558,0.0007017543859649122,,0.2900494001411433,0.2889551194149328,0.2695943253057741,0.3086454197730884,1.0976543417138906,163415.57209788664,721,0.03905109446731431,2.087639615378409
11 BRONX,BRONX,1073,1069,0.9962721342031687,20.0,176.93700000000004,0.0009319664492078285,,0.30028063610851263,0.2984739485911245,0.2760897725448521,0.32127154892991855,1.0997193022813063,81423.0357999813,563,0.04518177638506643,2.079402765777568
10 MANHATTAN,MANHATTAN,1977,1954,0.9883662114314619,38.019444444444446,528.9236111111111,0.0005058168942842691,,0.28863868986693964,0.2878674067139203,0.2713149428313375,0.30466185701138304,1.0426466721919367,483018.0343147082,1011,0.03334691418004554,2.0769015454387305
10 QUEENS,QUEENS,947,943,0.9957761351636748,9.45111111111111,3261.4602777777777,0.0,,0.29056203605514314,0.28891923599954944,0.2653970812101289,0.3129299466347117,1.0763494176222326,140556.60708266066,503,0.04753286542458279,1.9350846425823458
01 BRONX,BRONX,991,982,0.9909182643794148,30.447222222222223,878.6394722222212,0.004036326942482341,,0.2759674134419552,0.2749585215142437,0.2522483679353573,0.2981696535278018,1.098137446455199,188935.85533906898,524,0.04592128559244446,1.8911845558902223
10 BROOKLYN,BROOKLYN,979,969,0.9897854954034729,4.927777777777778,264.6667222222223,0.006128702757916241,,0.27038183694530443,0.26958137659817355,0.24687578077467667,0.2928065315204788,1.1147744925719858,134633.75819408215,516,0.045930750745802135,1.877677104267917
05 MANHATTAN,MANHATTAN,858,818,0.9533799533799534,8.782777777777778,1032.865416666668,0.002331002331002331,,0.26894865525672373,0.26807413634913413,0.24352387131649855,0.29323944554174275,1.124076824188227,91626.58913992654,451,0.0497155742252442,1.8422720676892652
08 MANHATTAN,MANHATTAN,919,904,0.9836779107725789,22.875972222222224,886.2579444444468,0.003264417845484222,,0.28761061946902655,0.28602500952071724,0.2621038193009147,0.31046192491942765,1.035293934004761,173586.8087729191,475,0.04835810561851295,1.8257032719194188
07 QUEENS,QUEENS,1372,1361,0.9919825072886297,8.684166666666666,185.77722222222224,0.0007288629737609329,,0.2659808963997061,0.2655300563794126,0.2463214674958028,0.2851193593199502,1.0554803355968327,294605.7407500895,661,0.03879789182414739,1.8203745110268628
03 QUEENS,QUEENS,1130,1124,0.9946902654867257,4.726805555555556,296.23158333333356,0.0017699115044247787,,0.26601423487544484,0.2654704544566642,0.24442050108217092,0.2869787867037945,1.0411660555537448,157193.17423576923,552,0.04255828562162359,1.745557536965488
10 BRONX,BRONX,729,723,0.9917695473251029,21.529166666666665,639.63366666667,0.0,,0.2641770401106501,0.2634437863532858,0.2375850925883489,0.2900079567476551,1.0796188149692476,101479.67370089659,408,0.05242286415930622,1.7104140597645625
02 QUEENS,QUEENS,1113,1104,0.9919137466307277,4.3022222222222215,133.2666666666668,0.0008984725965858042,,0.2644927536231884,0.26399266519891357,0.2428015156181392,0.28565314900294625,0.9977654894799772,84318.0523182764,530,0.04285163338480705,1.6527897025767513
09 BRONX,BRONX,1178,1169,0.9923599320882852,24.56972222222222,451.55738888888925,0.006791171477079796,,0.262617621899059,0.2622064590467801,0.2416332229373769,0.2832271470321663,0.9850887941910965,181988.27718787617,580,0.041593924094789375,1.6439937640288256
09 QUEENS,QUEENS,1116,1110,0.9946236559139785,3.6133333333333333,242.9761388888889,0.004480286738351254,,0.23783783783783785,0.2382674860761366,0.21787338219499122,0.25917935675030035,1.0592058311406096,192932.97268167505,599,0.04130597455530913,1.6144207118393703
01 QUEENS,QUEENS,1347,1341,0.9955456570155902,3.508611111111111,134.89916666666667,0.0066815144766146995,,0.23862788963460105,0.2389627871017792,0.22031055002316402,0.2580450102892156,1.0236659020084118,152333.18165557706,636,0.037734460266051595,1.5794424476748208
11 MANHATTAN,MANHATTAN,914,911,0.9967177242888403,23.85,1341.266388888889,0.0,,0.2601536772777168,0.2597346046136247,0.23664788583051724,0.28339613935374297,0.9803250722644071,309903.18497595965,395,0.04674825352322573,1.5230136759381812
04 MANHATTAN,MANHATTAN,832,819,0.984375,16.93611111111111,747.876611111112,0.003605769230769231,,0.2576312576312576,0.2572847601717777,0.23308969131413532,0.28212273024911255,0.9835775116423893,147997.3628671429,381,0.049033038934977236,1.5045451914344057
08 BROOKLYN,BROOKLYN,1065,1058,0.9934272300469483,26.478472222222223,929.2071666666703,0.0018779342723004694,,0.2448015122873346,0.24499782239303924,0.22392436737276764,0.2665996329968534,0.9852488341806751,179920.17583234378,476,0.04267526562408577,1.48873868363488
06 MANHATTAN,MANHATTAN,646,632,0.978328173374613,28.966666666666665,2030.4365833333322,0.009287925696594427,,0.25316455696202533,0.2529875133743409,0.22584565208736732,0.28096585208870123,1.0105214239626954,124572.58759544589,293,0.05512020000133391,1.4530032018581662
14 BROOKLYN,BROOKLYN,1622,1612,0.9938347718865598,25.144305555555555,467.34805555555556,0.0012330456226880395,,0.22456575682382135,0.22518620398762537,0.20847778846631496,0.24227301611586452,0.9561392270383113,191179.63364614695,822,0.033795227649549564,1.445362323551756
12 QUEENS,QUEENS,1334,1327,0.9947526236881559,17.754444444444445,499.6019444444474,0.0014992503748125937,,0.23587038432554636,0.23628939940567453,0.21761866046399134,0.2553989776239385,0.9460265125402214,280730.856251902,618,0.03778031715994715,1.4369131746676544
11 QUEENS,QUEENS,556,544,0.9784172661870504,4.963472222222222,524.5108055555553,0.0017985611510791368,,0.22058823529411764,0.22261576881431003,0.19487218597465503,0.25144028589098566,1.1298498217481243,158730.99055811064,278,0.05656809991633063,1.4163758274510316
03 MANHATTAN,MANHATTAN,984,975,0.9908536585365854,4.688888888888889,889.7627777777786,0.017276422764227643,,0.25435897435897437,0.25419468865769174,0.23200330133056207,0.2769370460191239,0.9118847943517602,202259.0855670659,422,0.044933744688561816,1.4017583228222117
13 QUEENS,QUEENS,778,770,0.9897172236503856,17.614305555555553,581.5186388888893,0.0,,0.21688311688311687,0.21852791233031738,0.19505900417338534,0.2427874753273589,1.070846670462489,186756.69160683244,354,0.04772847115397355,1.3741336222568832
09 MANHATTAN,MANHATTAN,1199,1192,0.994161801501251,32.25944444444445,353.13483333333335,0.003336113427856547,,0.25083892617449666,0.2508178644379522,0.2307435841438412,0.27135226638128324,0.8764632229625844,230445.16808643722,516,0.040608682237442045,1.3735237214601799
01 BROOKLYN,BROOKLYN,1482,1475,0.99527665317139,8.2375,612.4390000000008,0.0465587044534413,0.463768115942029,0.22033898305084745,0.22112713464525222,0.2038061181393916,0.23886686930640644,0.9552356875600532,225265.71633395267,661,0.03506075116701485,1.3719853985946076
05 QUEENS,QUEENS,1345,1332,0.9903345724907063,3.2455555555555557,112.58441666666671,0.0022304832713754648,,0.21771771771771772,0.21866443803757807,0.200551171691997,0.23724416078449595,0.96628036745658,145471.75797096145,638,0.03669298909249896,1.364920663901892
04 BROOKLYN,BROOKLYN,910,905,0.9945054945054945,15.411666666666667,810.6326111111114,0.012087912087912088,,0.20773480662983426,0.20953186136249424,0.18812091433757477,0.23164211118784683,1.047541642426837,147100.32578863355,436,0.04352119685027206,1.3345049059376324
07 MANHATTAN,MANHATTAN,1299,1282,0.9869130100076983,53.577083333333334,3332.35575,0.0023094688221709007,,0.23400936037441497,0.23449894779694183,0.21556924532070199,0.2538855128773767,0.8939718586209635,263885.5042885578,553,0.03831626755667472,1.3243017263077326
09 BROOKLYN,BROOKLYN,950,942,0.991578947368421,32.33236111111111,535.5225,0.002105263157894737,,0.20488322717622082,0.2067287260565754,0.1858270269946159,0.22830985987399416,1.0139279779880541,109957.6772811357,489,0.04248283287937826,1.298397168055402
17 BROOKLYN,BROOKLYN,1335,1332,0.9977528089887641,32.40527777777778,647.9075,0.0022471910112359553,,0.22372372372372373,0.2244953418276655,0.20620355669944365,0.2432439176492437,0.8676463627901065,201932.0815937291,645,0.03704036094980004,1.2603989365955603
12 BROOKLYN,BROOKLYN,976,960,0.9836065573770492,8.922083333333333,365.5858333333333,0.015368852459016393,,0.20208333333333334,0.20400760898755707,0.18339797741990127,0.22529062870189862,0.9755910377467255,140859.05585599586,453,0.041892651281997345,1.2176726182990047
04 BRONX,BRONX,2053,2041,0.9946419873356064,38.99333333333333,700.4397222222223,0.001948368241597662,,0.192062714355708,0.19318001392962858,0.1791174729739345,0.20757790497562403,0.8957866569219469,329251.9051185694,1008,0.028460432001689545,1.196924246309218
02 BRONX,BRONX,707,702,0.9929278642149929,47.827638888888885,742.3432499999997,0.0014144271570014145,,0.22364672364672364,0.2250776401449556,0.200302120567354,0.2506962384866088,0.9010284935193684,131087.53582301686,336,0.05039411791925483,1.1803207744726032
11 BROOKLYN,BROOKLYN,1317,1307,0.9924069855732726,3.120277777777778,119.48916666666666,0.009870918754745633,,0.1782708492731446,0.18040653970865408,0.16345274800194798,0.197900037688586,0.9921376806682018,130256.54265748491,648,0.034447289686638016,1.1590255662502853
05 BROOKLYN,BROOKLYN,1731,1722,0.9948006932409013,12.969444444444445,286.6063888888889,0.0,,0.18873403019744484,0.19012917649691094,0.1749590337011051,0.20569933405491286,0.8750918182302043,126400.06149953339,729,0.03074030035380776,1.0969539588163164
07 BROOKLYN,BROOKLYN,859,845,0.9837019790454016,20.947222222222223,849.2686111111111,0.037252619324796274,0.3125,0.18461538461538463,0.18757921919497975,0.16641431527663922,0.20954726917065267,0.9559017048423935,207500.96202371942,366,0.04313295389401345,1.0588744614598944
16 BROOKLYN,BROOKLYN,649,646,0.9953775038520801,26.99888888888889,723.2936111111111,0.0015408320493066256,,0.2043343653250774,0.20700817636670127,0.1820747072822613,0.23291350207869344,0.9058666195770418,101703.05812778164,276,0.050838794796432135,1.054625868839136
06 BRONX,BRONX,1091,1091,1.0,30.2225,576.0155555555556,0.0018331805682859762,,0.19431714023831348,0.19629319981216362,0.17718412403292677,0.21601314991761192,0.8467257445691629,114065.34872120855,516,0.03882902588468515,1.0384653740408134
08 BRONX,BRONX,977,974,0.9969293756397134,17.09347222222222,272.92772222222294,0.0,,0.17761806981519507,0.18048087671356713,0.16098842449930517,0.20069017721483431,0.8990372277482098,84316.06493773358,454,0.03970175271552914,0.9930735045298578
14 QUEENS,QUEENS,619,612,0.9886914378029079,24.849305555555553,656.8399999999997,0.0,,0.20588235294117646,0.20860062728152923,0.1829627609988347,0.23525550787589042,0.8188898493140723,119840.78115759994,230,0.05229274687705571,0.9296788887280681
05 BRONX,BRONX,1836,1833,0.9983660130718954,32.6225,677.0416666666666,0.0027233115468409588,,0.18494271685761046,0.18633615002005183,0.17173351909701506,0.20131968952244128,0.7381108571639405,303162.6295604047,693,0.029586170425426217,0.8998302349721893
07 BRONX,BRONX,1971,1961,0.9949264332825977,26.11916666666667,683.3058333333333,0.0010147133434804667,,0.16471188169301376,0.1664205941966802,0.15292012640333402,0.18030023121474845,0.8114184972492797,331137.1036540272,774,0.027380104811414424,0.8983809913963818
02 STATEN ISLAND,STATEN ISLAND,506,501,0.9901185770750988,14.259444444444444,737.4833333333333,0.011857707509881422,,0.18762475049900199,0.19225066356295206,0.16506721170803676,0.22072869047036947,0.8563425676625592,48418.262764077765,230,0.05566147876233271,0.8959984357252636
03 BROOKLYN,BROOKLYN,1242,1228,0.9887278582930756,34.89944444444444,599.6984444444445,0.001610305958132045,,0.16205211726384364,0.16483249920154341,0.14800553718188106,0.18226072952097153,0.82404881372177,200100.88223815948,476,0.03425519233909047,0.8377339217962374
06 QUEENS,QUEENS,767,763,0.9947848761408083,6.242222222222222,218.19277777777788,0.005215123859191656,,0.1782437745740498,0.18182765751875102,0.15991099928380345,0.20464580391177686,0.8010786924466122,92474.28268330036,281,0.04473480462797341,0.8217903790842536
01 STATEN ISLAND,STATEN ISLAND,955,951,0.9958115183246073,17.842222222222222,267.885,0.0010471204188481676,,0.15562565720294427,0.15944259231842287,0.1407213701599397,0.1789455721925423,0.8445310838466724,86868.88544167494,375,0.0382242020326026,0.7984442324623208
02 MANHATTAN,MANHATTAN,700,682,0.9742857142857143,18.294305555555553,348.14899999999966,0.002857142857142857,,0.1744868035190616,0.17868089887473276,0.1557613530402203,0.20261303345479684,0.8081542884393501,93434.07991618669,228,0.046851680414576546,0.7846388831245719
18 BROOKLYN,BROOKLYN,966,950,0.9834368530020704,3.893472222222222,242.53858333333335,0.0,,0.13894736842105262,0.14344202928036068,0.1255444434704902,0.16215889900015978,0.8984665253965906,88817.9714780546,400,0.036614455529669576,0.7724889315240626
03 BRONX,BRONX,1208,1204,0.9966887417218543,30.07402777777778,523.4722222222222,0.011589403973509934,,0.17358803986710963,0.1760511326266536,0.15859654605554818,0.19409808660972125,0.6534820438147879,167220.61487705662,479,0.03550154055417307,0.710270964033694
03 STATEN ISLAND,STATEN ISLAND,710,697,0.9816901408450704,12.366666666666667,238.70499999999998,0.007042253521126761,,0.1406025824964132,0.14655035140781147,0.12569440797832876,0.1684973611082283,0.761342706999309,100542.8300292831,271,0.04280295312989954,0.6254675968004556
02 BROOKLYN,BROOKLYN,1348,1344,0.9970326409495549,1.497638888888889,176.45058333333378,0.002967359050445104,,0.109375,0.11344480418176088,0.09975210608349894,0.12777275276564237,0.8132259166296522,76802.88417685949,487,0.028020646682143435,0.571095315793119
01 MANHATTAN,MANHATTAN,557,544,0.9784560143626571,1.2102777777777778,95.67469444444446,0.0,,0.15441176470588236,0.16097193319787167,0.1366539888266052,0.18661082977688556,0.649338905258738,40916.97450677294,154,0.04995684095028036,0.5271657194623353
06 BROOKLYN,BROOKLYN,1031,1030,0.9990300678952473,1.2518055555555554,257.22322222222226,0.006789524733268671,,0.10776699029126213,0.11309122335285707,0.09759402679142698,0.12941087752762323,0.8090731240337613,93308.70545810595,258,0.03181685073619625,0.5084445963440418
13 BROOKLYN,BROOKLYN,559,557,0.9964221824686941,2.508611111111111,540.5592222222252,0.0017889087656529517,,0.11310592459605028,0.12229080232421619,0.10099435661865111,0.14502659553603015,0.7325261214822147,65549.21524770219,163,0.044032238917379035,0.4568521907527362
