complaint_type,requests,median_resolution_hours,p90_resolution_hours,closed_rate
Noise - Residential,30254,4.983888888888889,26.286416666666668,1.0
HEAT/HOT WATER,14994,38.07486111111111,71.62266666666667,0.9997332266239829
Illegal Parking,9745,1.548888888888889,7.471111111111113,1.0
Blocked Driveway,3297,2.003888888888889,9.353944444444444,1.0
UNSANITARY CONDITION,2226,381.86861111111114,2315.126888888889,0.995058400718778
PLUMBING,1491,230.14833333333334,1869.6575555555576,0.9953051643192489
Street Condition,1372,29.916666666666668,70.72233333333331,0.9752186588921283
PAINT/PLASTER,1200,215.26305555555555,1992.915166666667,0.9866666666666667
Abandoned Vehicle,1197,1.7547222222222223,9.626166666666684,1.0
Noise - Commercial,1058,0.7068055555555556,3.7459166666666697,1.0
Noise - Street/Sidewalk,1054,0.7601388888888889,4.865361111111113,1.0
DOOR/WINDOW,1020,384.7865277777778,2640.652305555556,0.9921568627450981
